"UCT";"GROUP";"EDUCATION"
3;"1";"University (Bachelor's)"
1;"1";"Graduate School (Master or PhD)"
3;"0";"High school"
2;"1";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
3;"0";"High school"
3;"1";"High school"
4;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
5;"1";"High school"
3;"0";"University (Bachelor's)"
4;"1";"Graduate School (Master or PhD)"
3;"1";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"1";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
2;"1";"Community College or Professional School (College degree)"
5;"1";"University (Bachelor's)"
2;"1";"High school"
3;"1";"High school"
2;"1";"High school"
2;"1";"High school"
3;"1";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
4;"1";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
1;"1";"High school"
3;"0";"Graduate School (Master or PhD)"
2;"1";"Community College or Professional School (College degree)"
3;"0";"Community College or Professional School (College degree)"
5;"1";"University (Bachelor's)"
1;"0";"Graduate School (Master or PhD)"
4;"1";"High school"
3;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
4;"0";"High school"
3;"0";"High school"
3;"1";"Graduate School (Master or PhD)"
4;"1";"High school"
2;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
3;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"1";"University (Bachelor's)"
3;"0";"High school"
2;"0";"High school"
3;"1";"Graduate School (Master or PhD)"
2;"0";"High school"
2;"0";"High school"
2;"1";"High school"
1;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
3;"1";"High school"
5;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
2;"1";"University (Bachelor's)"
2;"0";"High school"
3;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
1;"0";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
3;"1";"Graduate School (Master or PhD)"
2;"0";"Less than high school"
3;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
1;"0";"High school"
2;"0";"Community College or Professional School (College degree)"
2;"0";"High school"
2;"0";"Graduate School (Master or PhD)"
5;"1";"High school"
2;"1";"High school"
2;"1";"University (Bachelor's)"
4;"0";"High school"
3;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
3;"0";"High school"
4;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
2;"1";"High school"
2;"1";"High school"
2;"1";"High school"
2;"1";"Community College or Professional School (College degree)"
3;"0";"High school"
2;"0";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"0";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"High school"
2;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
3;"1";"Graduate School (Master or PhD)"
3;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
3;"1";"High school"
2;"0";"Community College or Professional School (College degree)"
3;"0";"Graduate School (Master or PhD)"
5;"1";"Graduate School (Master or PhD)"
2;"0";"Community College or Professional School (College degree)"
1;"1";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
3;"0";"Community College or Professional School (College degree)"
1;"1";"Community College or Professional School (College degree)"
4;"0";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
3;"1";"High school"
3;"1";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
1;"1";"Community College or Professional School (College degree)"
3;"0";"High school"
2;"0";"Graduate School (Master or PhD)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
1;"1";"Community College or Professional School (College degree)"
4;"1";"High school"
5;"1";"High school"
3;"1";"Community College or Professional School (College degree)"
2;"1";"High school"
3;"0";"University (Bachelor's)"
1;"1";"High school"
3;"0";"High school"
1;"0";"High school"
2;"0";"High school"
3;"0";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
3;"1";"High school"
1;"0";"Graduate School (Master or PhD)"
3;"0";"High school"
5;"0";"Community College or Professional School (College degree)"
4;"0";"University (Bachelor's)"
3;"0";"High school"
1;"1";"University (Bachelor's)"
2;"1";"High school"
4;"1";"Community College or Professional School (College degree)"
4;"1";"University (Bachelor's)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
3;"1";"High school"
3;"0";"High school"
2;"0";"High school"
2;"0";"University (Bachelor's)"
2;"1";"High school"
5;"1";"University (Bachelor's)"
5;"1";"Community College or Professional School (College degree)"
3;"1";"Graduate School (Master or PhD)"
4;"1";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"0";"High school"
4;"1";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
2;"1";"Community College or Professional School (College degree)"
4;"0";"Community College or Professional School (College degree)"
2;"1";"High school"
3;"0";"Graduate School (Master or PhD)"
2;"0";"Less than high school"
3;"0";"High school"
2;"1";"High school"
2;"0";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
1;"0";"Community College or Professional School (College degree)"
2;"0";"High school"
3;"1";"Graduate School (Master or PhD)"
2;"1";"Other"
2;"0";"University (Bachelor's)"
2;"1";"High school"
2;"1";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
4;"0";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"1";"High school"
4;"1";"High school"
5;"1";"Graduate School (Master or PhD)"
2;"0";"High school"
5;"1";"High school"
1;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
4;"1";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
3;"0";"Graduate School (Master or PhD)"
2;"0";"High school"
2;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
3;"1";"High school"
3;"0";"University (Bachelor's)"
4;"0";"High school"
2;"0";"Graduate School (Master or PhD)"
2;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
1;"1";"Community College or Professional School (College degree)"
4;"0";"Community College or Professional School (College degree)"
4;"1";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
2;"0";"High school"
3;"0";"University (Bachelor's)"
3;"1";"High school"
3;"1";"Community College or Professional School (College degree)"
4;"1";"High school"
3;"0";"Community College or Professional School (College degree)"
1;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"0";"High school"
4;"1";"Graduate School (Master or PhD)"
5;"1";"High school"
2;"1";"Graduate School (Master or PhD)"
3;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
3;"1";"Graduate School (Master or PhD)"
3;"0";"High school"
3;"0";"University (Bachelor's)"
2;"1";"High school"
3;"1";"High school"
2;"1";"Graduate School (Master or PhD)"
3;"0";"Community College or Professional School (College degree)"
5;"0";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"1";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
1;"0";"Community College or Professional School (College degree)"
3;"1";"High school"
3;"1";"High school"
4;"0";"University (Bachelor's)"
1;"0";"High school"
4;"0";"Graduate School (Master or PhD)"
3;"1";"High school"
3;"0";"High school"
3;"1";"High school"
2;"1";"High school"
6;"1";"High school"
3;"0";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
2;"1";"High school"
3;"0";"University (Bachelor's)"
3;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
4;"1";"Community College or Professional School (College degree)"
2;"1";"Less than high school"
3;"0";"Graduate School (Master or PhD)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
3;"1";"Graduate School (Master or PhD)"
3;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
1;"0";"Community College or Professional School (College degree)"
1;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"0";"High school"
3;"0";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
1;"0";"Graduate School (Master or PhD)"
3;"0";"Community College or Professional School (College degree)"
1;"0";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
3;"0";"High school"
1;"1";"Community College or Professional School (College degree)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"High school"
2;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
1;"0";"Other"
2;"0";"University (Bachelor's)"
3;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
3;"0";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
2;"0";"High school"
4;"0";"Community College or Professional School (College degree)"
3;"1";"Graduate School (Master or PhD)"
3;"1";"High school"
3;"0";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
4;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
5;"1";"Community College or Professional School (College degree)"
1;"1";"High school"
3;"1";"Graduate School (Master or PhD)"
2;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
2;"1";"High school"
4;"1";"Community College or Professional School (College degree)"
4;"0";"High school"
2;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
2;"0";"High school"
2;"0";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"Community College or Professional School (College degree)"
4;"1";"High school"
4;"0";"Community College or Professional School (College degree)"
1;"0";"High school"
4;"0";"High school"
2;"1";"Graduate School (Master or PhD)"
3;"0";"University (Bachelor's)"
3;"0";"High school"
3;"0";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
4;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
4;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
3;"1";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
4;"1";"Community College or Professional School (College degree)"
4;"0";"Graduate School (Master or PhD)"
3;"0";"High school"
1;"0";"University (Bachelor's)"
4;"0";"High school"
3;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
1;"1";"High school"
4;"0";"University (Bachelor's)"
3;"1";"High school"
2;"0";"High school"
3;"0";"High school"
2;"0";"High school"
4;"1";"University (Bachelor's)"
3;"0";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
6;"1";"High school"
3;"0";"Graduate School (Master or PhD)"
4;"0";"High school"
3;"0";"High school"
4;"1";"Graduate School (Master or PhD)"
2;"0";"University (Bachelor's)"
1;"0";"Community College or Professional School (College degree)"
2;"1";"Graduate School (Master or PhD)"
2;"1";"Graduate School (Master or PhD)"
3;"1";"University (Bachelor's)"
3;"1";"High school"
2;"0";"High school"
1;"1";"Less than high school"
3;"0";"University (Bachelor's)"
4;"0";"Other"
3;"1";"Graduate School (Master or PhD)"
3;"1";"High school"
3;"1";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
3;"1";"High school"
1;"1";"University (Bachelor's)"
2;"0";"High school"
5;"1";"High school"
4;"1";"High school"
1;"0";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
2;"0";"Community College or Professional School (College degree)"
1;"0";"High school"
3;"1";"University (Bachelor's)"
4;"1";"High school"
2;"1";"University (Bachelor's)"
1;"1";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
1;"0";"High school"
3;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"1";"Community College or Professional School (College degree)"
4;"1";"High school"
1;"0";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
4;"1";"High school"
4;"1";"High school"
3;"0";"Graduate School (Master or PhD)"
3;"1";"University (Bachelor's)"
1;"0";"Community College or Professional School (College degree)"
2;"1";"Other"
3;"0";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
4;"1";"High school"
4;"1";"High school"
3;"1";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
1;"1";"Graduate School (Master or PhD)"
2;"0";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
3;"0";"High school"
3;"0";"High school"
3;"0";"Community College or Professional School (College degree)"
1;"1";"High school"
3;"1";"Graduate School (Master or PhD)"
5;"0";"University (Bachelor's)"
1;"1";"High school"
4;"1";"University (Bachelor's)"
5;"1";"High school"
2;"0";"High school"
3;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
2;"0";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
4;"0";"High school"
4;"1";"Community College or Professional School (College degree)"
5;"1";"High school"
2;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
4;"0";"High school"
4;"0";"Graduate School (Master or PhD)"
4;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
4;"0";"Other"
4;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
2;"1";"High school"
3;"0";"High school"
1;"0";"Community College or Professional School (College degree)"
2;"1";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
2;"0";"Graduate School (Master or PhD)"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
1;"0";"High school"
3;"0";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
5;"0";"High school"
3;"1";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
4;"0";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"1";"High school"
2;"0";"High school"
3;"1";"High school"
6;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
3;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"0";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
3;"1";"High school"
4;"0";"High school"
3;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
1;"0";"High school"
3;"1";"Less than high school"
3;"0";"University (Bachelor's)"
3;"1";"High school"
3;"0";"Graduate School (Master or PhD)"
4;"1";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
1;"1";"High school"
3;"1";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
2;"1";"High school"
5;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
3;"0";"High school"
4;"1";"High school"
4;"1";"Less than high school"
2;"0";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
1;"1";"University (Bachelor's)"
3;"0";"Community College or Professional School (College degree)"
1;"0";"Graduate School (Master or PhD)"
3;"1";"Graduate School (Master or PhD)"
2;"1";"High school"
2;"1";"Graduate School (Master or PhD)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
6;"1";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"0";"High school"
2;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
2;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
2;"0";"High school"
1;"1";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
4;"1";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
2;"1";"High school"
2;"0";"High school"
2;"1";"University (Bachelor's)"
1;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
4;"1";"High school"
1;"0";"Community College or Professional School (College degree)"
5;"1";"University (Bachelor's)"
3;"1";"High school"
3;"1";"Community College or Professional School (College degree)"
3;"1";"High school"
3;"1";"Community College or Professional School (College degree)"
2;"0";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
2;"0";"Graduate School (Master or PhD)"
2;"0";"Community College or Professional School (College degree)"
1;"0";"Graduate School (Master or PhD)"
1;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"1";"University (Bachelor's)"
2;"0";"Community College or Professional School (College degree)"
3;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
2;"1";"Other"
2;"1";"Community College or Professional School (College degree)"
1;"0";"Community College or Professional School (College degree)"
5;"1";"Community College or Professional School (College degree)"
2;"0";"High school"
2;"0";"Community College or Professional School (College degree)"
2;"1";"Community College or Professional School (College degree)"
1;"0";"University (Bachelor's)"
6;"1";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
2;"1";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
3;"0";"High school"
5;"1";"Graduate School (Master or PhD)"
1;"1";"University (Bachelor's)"
3;"1";"University (Bachelor's)"
3;"1";"Community College or Professional School (College degree)"
4;"0";"University (Bachelor's)"
3;"0";"University (Bachelor's)"
1;"0";"Community College or Professional School (College degree)"
2;"0";"University (Bachelor's)"
2;"0";"High school"
2;"0";"Graduate School (Master or PhD)"
2;"0";"Community College or Professional School (College degree)"
5;"1";"University (Bachelor's)"
4;"0";"Community College or Professional School (College degree)"
3;"0";"Graduate School (Master or PhD)"
1;"0";"High school"
3;"1";"High school"
3;"0";"University (Bachelor's)"
2;"1";"Graduate School (Master or PhD)"
2;"0";"University (Bachelor's)"
2;"1";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
3;"1";"University (Bachelor's)"
3;"1";"High school"
3;"0";"University (Bachelor's)"
5;"0";"University (Bachelor's)"
2;"0";"University (Bachelor's)"
4;"1";"Community College or Professional School (College degree)"
3;"0";"High school"
3;"0";"University (Bachelor's)"
2;"1";"Community College or Professional School (College degree)"
2;"0";"Graduate School (Master or PhD)"
3;"1";"Community College or Professional School (College degree)"
2;"1";"High school"
3;"0";"High school"
3;"0";"Graduate School (Master or PhD)"
