"UCT";"GROUP";"REGION"
2;"0";"South"
2;"0";"Midwest"
1;"0";"Northeast"
2;"0";"South"
2;"0";"West"
3;"1";"West"
2;"0";"Northeast"
4;"1";"South"
4;"1";"West"
3;"1";"South"
3;"0";"West"
2;"0";"Midwest"
3;"0";"Northeast"
2;"0";"Midwest"
2;"1";"Northeast"
2;"1";"Northeast"
4;"0";"Midwest"
2;"1";"Northeast"
2;"1";"West"
2;"0";"South"
5;"1";"South"
3;"0";"West"
3;"1";"West"
4;"0";"South"
3;"0";"West"
1;"0";"South"
3;"1";"West"
2;"1";"Midwest"
4;"1";"West"
3;"0";"West"
1;"0";"West"
3;"1";"Northeast"
2;"1";"West"
6;"1";"South"
3;"1";"South"
2;"0";"South"
3;"0";"South"
3;"1";"South"
4;"1";"South"
4;"1";"West"
1;"0";"West"
2;"0";"West"
3;"0";"Midwest"
1;"0";"South"
2;"1";"West"
1;"1";"South"
5;"1";"South"
3;"1";"Midwest"
1;"1";"West"
1;"1";"Midwest"
1;"1";"South"
3;"0";"Northeast"
3;"0";"South"
4;"1";"South"
3;"1";"South"
3;"0";"Northeast"
2;"0";"West"
4;"1";"Midwest"
4;"0";"West"
4;"0";"Northeast"
2;"0";"West"
3;"0";"Northeast"
4;"0";"Northeast"
3;"1";"Midwest"
3;"0";"Northeast"
3;"0";"Midwest"
2;"1";"Midwest"
2;"1";"South"
2;"1";"Northeast"
3;"1";"Midwest"
3;"1";"Northeast"
3;"0";"West"
4;"0";"Midwest"
4;"1";"South"
2;"1";"South"
3;"0";"Northeast"
4;"1";"South"
3;"1";"West"
5;"1";"West"
2;"0";"Midwest"
2;"1";"Midwest"
3;"1";"West"
3;"1";"Midwest"
2;"1";"South"
3;"0";"South"
2;"0";"South"
2;"0";"West"
2;"1";"South"
2;"0";"South"
3;"0";"South"
3;"0";"West"
3;"0";"Midwest"
1;"0";"South"
2;"1";"South"
4;"1";"South"
2;"0";"Midwest"
3;"1";"West"
4;"1";"Northeast"
2;"1";"Midwest"
1;"0";"Northeast"
6;"1";"South"
1;"1";"South"
4;"1";"South"
4;"0";"West"
3;"0";"Midwest"
3;"0";"South"
2;"1";"Northeast"
3;"0";"West"
4;"1";"Northeast"
3;"0";"Midwest"
4;"1";"South"
5;"0";"Midwest"
4;"0";"West"
4;"0";"Midwest"
5;"1";"South"
2;"1";"Northeast"
4;"1";"South"
3;"0";"South"
1;"1";"West"
2;"0";"Midwest"
4;"1";"Northeast"
1;"1";"Midwest"
3;"1";"West"
2;"1";"Northeast"
4;"1";"West"
2;"0";"South"
2;"1";"West"
4;"1";"West"
4;"0";"Northeast"
2;"1";"Northeast"
2;"0";"South"
2;"0";"Midwest"
3;"0";"South"
2;"0";"Northeast"
3;"0";"Midwest"
2;"0";"South"
2;"0";"Midwest"
3;"0";"Midwest"
3;"1";"West"
2;"1";"Northeast"
3;"0";"Midwest"
3;"1";"Northeast"
2;"1";"Northeast"
1;"1";"West"
3;"1";"West"
3;"0";"West"
3;"1";"Midwest"
2;"1";"Northeast"
2;"1";"South"
3;"0";"South"
1;"0";"Midwest"
2;"1";"South"
5;"1";"South"
3;"1";"Midwest"
2;"0";"Midwest"
4;"0";"Northeast"
3;"1";"South"
3;"0";"South"
2;"0";"Midwest"
2;"1";"South"
3;"0";"West"
3;"0";"South"
4;"1";"Midwest"
3;"1";"Midwest"
3;"1";"Midwest"
4;"1";"South"
1;"0";"South"
2;"1";"South"
2;"1";"Midwest"
4;"0";"South"
2;"0";"South"
2;"0";"Northeast"
5;"1";"South"
3;"0";"South"
3;"1";"Midwest"
3;"0";"South"
1;"0";"West"
3;"0";"Midwest"
2;"0";"South"
3;"0";"Midwest"
2;"0";"Northeast"
3;"1";"West"
2;"0";"West"
2;"1";"South"
3;"0";"West"
3;"1";"West"
5;"1";"South"
2;"0";"Midwest"
3;"0";"Midwest"
2;"0";"West"
2;"0";"South"
4;"0";"Midwest"
4;"0";"South"
1;"0";"Midwest"
2;"0";"West"
1;"1";"Midwest"
3;"0";"Northeast"
3;"1";"South"
2;"0";"Midwest"
3;"0";"Midwest"
2;"0";"Midwest"
2;"1";"Northeast"
3;"1";"Midwest"
4;"0";"South"
3;"0";"Midwest"
3;"0";"South"
3;"0";"Northeast"
2;"1";"West"
3;"1";"Midwest"
5;"1";"Midwest"
3;"0";"West"
2;"0";"Northeast"
2;"1";"South"
1;"0";"Northeast"
1;"1";"Northeast"
2;"0";"Midwest"
4;"1";"South"
3;"0";"Midwest"
3;"1";"Northeast"
3;"0";"Midwest"
1;"0";"Midwest"
2;"0";"South"
2;"0";"Midwest"
2;"1";"South"
1;"0";"Midwest"
3;"0";"West"
2;"1";"Midwest"
3;"0";"West"
2;"0";"South"
2;"0";"Northeast"
1;"1";"South"
2;"0";"Northeast"
2;"1";"South"
3;"1";"Midwest"
3;"0";"Northeast"
4;"1";"Northeast"
3;"1";"South"
3;"1";"Northeast"
3;"1";"Northeast"
3;"1";"West"
3;"0";"South"
2;"1";"Northeast"
2;"1";"South"
3;"1";"South"
2;"0";"Northeast"
1;"1";"South"
1;"0";"Midwest"
3;"0";"South"
4;"1";"South"
3;"1";"South"
3;"1";"Northeast"
5;"1";"Midwest"
2;"0";"Northeast"
4;"0";"South"
1;"0";"South"
2;"0";"Midwest"
4;"1";"South"
3;"0";"South"
2;"0";"South"
3;"0";"Northeast"
3;"0";"South"
2;"1";"West"
3;"1";"Midwest"
2;"0";"West"
2;"0";"Midwest"
2;"0";"South"
3;"0";"South"
2;"0";"Midwest"
5;"1";"West"
3;"1";"West"
3;"0";"South"
1;"1";"West"
2;"0";"Midwest"
2;"0";"South"
2;"0";"Northeast"
4;"1";"South"
3;"1";"West"
5;"1";"West"
4;"1";"Northeast"
1;"0";"Midwest"
3;"0";"South"
2;"1";"South"
4;"0";"West"
4;"1";"West"
3;"0";"Northeast"
2;"0";"West"
1;"1";"Northeast"
2;"0";"South"
2;"0";"Northeast"
2;"0";"West"
4;"1";"West"
3;"1";"Northeast"
2;"1";"West"
3;"1";"Northeast"
3;"0";"South"
1;"1";"Midwest"
1;"0";"Midwest"
2;"1";"South"
3;"1";"South"
1;"0";"Northeast"
3;"1";"Midwest"
3;"0";"South"
3;"0";"Midwest"
5;"1";"West"
3;"1";"South"
2;"0";"South"
2;"1";"South"
3;"1";"West"
4;"0";"South"
3;"1";"West"
4;"1";"Midwest"
4;"1";"South"
3;"0";"Northeast"
3;"0";"Midwest"
3;"1";"West"
3;"0";"South"
3;"0";"Northeast"
2;"0";"Northeast"
2;"0";"West"
1;"0";"Midwest"
3;"0";"Midwest"
3;"0";"South"
2;"1";"South"
2;"0";"Midwest"
3;"0";"South"
2;"0";"Northeast"
2;"1";"Midwest"
3;"0";"West"
3;"0";"West"
3;"0";"South"
3;"0";"Midwest"
1;"1";"Midwest"
1;"1";"Northeast"
2;"0";"South"
2;"1";"West"
2;"1";"South"
3;"0";"West"
3;"0";"South"
2;"1";"Midwest"
2;"1";"Midwest"
1;"0";"South"
2;"1";"Midwest"
2;"0";"West"
1;"0";"South"
2;"1";"Midwest"
4;"0";"West"
2;"1";"South"
1;"0";"South"
4;"1";"Midwest"
3;"0";"Northeast"
3;"0";"West"
4;"0";"South"
3;"1";"South"
3;"0";"West"
3;"0";"Northeast"
4;"0";"Northeast"
2;"0";"West"
4;"0";"Midwest"
2;"1";"Midwest"
4;"1";"Midwest"
1;"0";"West"
4;"0";"West"
2;"1";"Midwest"
4;"1";"Northeast"
2;"1";"South"
4;"0";"South"
1;"0";"Northeast"
4;"0";"Northeast"
4;"1";"South"
2;"0";"Midwest"
4;"1";"South"
3;"0";"Midwest"
2;"0";"West"
1;"1";"Midwest"
3;"1";"South"
2;"1";"Midwest"
3;"1";"Midwest"
4;"0";"Midwest"
3;"0";"Northeast"
2;"1";"West"
3;"0";"Midwest"
3;"1";"South"
3;"1";"Northeast"
2;"0";"Midwest"
2;"1";"Midwest"
4;"1";"South"
3;"0";"South"
2;"1";"South"
1;"0";"Northeast"
3;"1";"South"
2;"0";"West"
1;"1";"Midwest"
2;"0";"Midwest"
3;"0";"South"
3;"1";"Northeast"
6;"1";"Midwest"
3;"0";"Northeast"
2;"1";"Northeast"
4;"0";"Midwest"
4;"1";"West"
2;"0";"South"
2;"0";"West"
3;"1";"Northeast"
3;"1";"Midwest"
1;"0";"South"
3;"1";"South"
3;"1";"South"
3;"0";"Midwest"
1;"0";"South"
4;"1";"South"
2;"1";"South"
5;"1";"West"
5;"0";"South"
2;"0";"South"
3;"0";"Midwest"
3;"1";"South"
3;"1";"Northeast"
3;"1";"South"
3;"1";"South"
4;"1";"South"
2;"0";"South"
2;"0";"West"
3;"0";"South"
1;"0";"Northeast"
4;"1";"West"
2;"1";"West"
3;"1";"Midwest"
2;"0";"Northeast"
2;"0";"Midwest"
3;"1";"West"
4;"0";"South"
2;"0";"West"
2;"0";"Northeast"
1;"0";"South"
5;"1";"South"
2;"0";"South"
2;"0";"Northeast"
2;"0";"South"
1;"1";"Northeast"
2;"1";"West"
3;"0";"Northeast"
2;"1";"West"
5;"0";"West"
3;"1";"Midwest"
1;"0";"South"
2;"1";"Midwest"
4;"0";"South"
5;"1";"Northeast"
2;"0";"Northeast"
3;"0";"Midwest"
2;"1";"South"
1;"1";"West"
2;"1";"Northeast"
2;"0";"South"
3;"1";"South"
4;"1";"South"
2;"0";"West"
3;"0";"Midwest"
4;"0";"Northeast"
5;"1";"Northeast"
1;"0";"South"
3;"1";"South"
3;"0";"South"
2;"1";"Midwest"
3;"1";"Midwest"
2;"1";"Northeast"
2;"1";"South"
2;"1";"Northeast"
3;"0";"Northeast"
2;"1";"South"
1;"1";"West"
6;"1";"South"
1;"0";"South"
3;"1";"South"
4;"1";"South"
4;"1";"Northeast"
3;"1";"West"
2;"1";"West"
2;"0";"West"
2;"0";"South"
5;"1";"West"
3;"1";"Northeast"
3;"0";"West"
2;"1";"South"
2;"0";"South"
2;"0";"South"
3;"0";"Northeast"
4;"1";"South"
2;"1";"West"
1;"0";"Midwest"
2;"0";"West"
3;"1";"Midwest"
2;"1";"West"
2;"0";"South"
1;"1";"South"
4;"1";"Midwest"
6;"1";"West"
2;"0";"Northeast"
2;"1";"Northeast"
4;"1";"Midwest"
2;"0";"West"
4;"1";"Northeast"
5;"1";"West"
2;"1";"West"
2;"0";"West"
2;"0";"Midwest"
1;"0";"West"
2;"1";"South"
3;"1";"West"
3;"1";"West"
3;"1";"Midwest"
5;"1";"South"
1;"1";"Midwest"
2;"0";"Northeast"
4;"1";"Midwest"
2;"1";"Northeast"
3;"1";"Northeast"
2;"0";"Midwest"
4;"1";"Northeast"
2;"0";"West"
2;"0";"South"
2;"0";"Northeast"
6;"1";"Midwest"
4;"0";"South"
5;"0";"Midwest"
3;"1";"West"
2;"0";"South"
3;"1";"Northeast"
4;"1";"South"
3;"0";"Northeast"
4;"0";"Midwest"
3;"1";"Northeast"
2;"0";"South"
2;"0";"Northeast"
3;"1";"Midwest"
2;"1";"Northeast"
4;"1";"Midwest"
4;"1";"South"
3;"1";"South"
1;"0";"South"
3;"1";"Northeast"
3;"1";"Northeast"
5;"1";"Northeast"
1;"0";"South"
3;"1";"South"
4;"1";"Northeast"
2;"1";"Northeast"
1;"0";"South"
2;"0";"West"
3;"0";"West"
1;"1";"Midwest"
3;"1";"South"
3;"0";"West"
3;"0";"West"
2;"1";"South"
1;"0";"Northeast"
1;"0";"Northeast"
3;"1";"West"
2;"0";"West"
3;"1";"Midwest"
2;"0";"West"
2;"0";"Midwest"
2;"1";"Midwest"
3;"0";"Northeast"
3;"0";"West"
3;"1";"Midwest"
4;"1";"Northeast"
2;"1";"South"
3;"0";"Midwest"
3;"0";"Midwest"
3;"0";"South"
4;"1";"West"
3;"0";"South"
2;"1";"Midwest"
5;"1";"Midwest"
2;"1";"South"
3;"1";"Midwest"
3;"1";"South"
2;"0";"South"
3;"1";"West"
2;"0";"West"
4;"1";"West"
2;"1";"South"
3;"1";"West"
5;"1";"Midwest"
2;"1";"Northeast"
3;"0";"Midwest"
2;"0";"Midwest"
5;"1";"South"
1;"1";"Midwest"
1;"0";"West"
2;"0";"Northeast"
1;"0";"South"
1;"1";"Northeast"
3;"0";"Midwest"
4;"1";"Northeast"
3;"1";"West"
2;"0";"Northeast"
1;"0";"West"
2;"1";"South"
5;"0";"South"
4;"1";"Northeast"
2;"1";"South"
2;"0";"West"
5;"1";"Northeast"
2;"1";"Northeast"
1;"1";"South"
1;"0";"South"
2;"0";"West"
3;"0";"Midwest"
2;"1";"South"
3;"1";"Midwest"
2;"0";"South"
4;"1";"Northeast"
4;"1";"West"
3;"0";"West"
1;"0";"West"
4;"0";"South"
2;"0";"South"
3;"0";"Midwest"
3;"0";"South"
3;"1";"South"
2;"0";"West"
3;"1";"West"
4;"1";"Northeast"
2;"0";"Midwest"
2;"0";"Northeast"
3;"1";"South"
6;"1";"Northeast"
4;"0";"South"
4;"1";"Northeast"
3;"0";"South"
4;"1";"Midwest"
3;"0";"Midwest"
2;"0";"South"
3;"0";"Midwest"
3;"0";"South"
4;"0";"Northeast"
4;"0";"South"
3;"0";"Midwest"
1;"1";"West"
2;"0";"Midwest"
4;"1";"South"
2;"1";"Midwest"
2;"0";"Northeast"
3;"1";"Midwest"
4;"1";"West"
3;"1";"South"
3;"0";"West"
4;"0";"South"
4;"1";"Northeast"
2;"1";"South"
4;"1";"South"
3;"1";"Midwest"
2;"1";"Midwest"
2;"1";"Midwest"
2;"0";"Midwest"
3;"0";"South"
1;"0";"West"
3;"1";"South"
3;"0";"South"
2;"0";"South"
3;"0";"South"
4;"0";"South"
3;"1";"Midwest"
3;"0";"Midwest"
5;"1";"West"
2;"1";"Midwest"
4;"1";"West"
4;"1";"South"
2;"1";"South"
4;"1";"Northeast"
3;"1";"Midwest"
4;"1";"Northeast"
3;"1";"West"
1;"0";"West"
2;"0";"West"
3;"0";"South"
3;"1";"South"
3;"0";"West"
2;"1";"Northeast"
1;"1";"West"
3;"1";"Midwest"
3;"1";"Midwest"
2;"0";"West"
3;"0";"West"
3;"0";"Midwest"
2;"1";"West"
3;"1";"South"
1;"1";"Northeast"
2;"0";"South"
2;"1";"Midwest"
3;"1";"Midwest"
3;"1";"West"
2;"1";"Northeast"
2;"1";"South"
2;"1";"Midwest"
3;"0";"West"
1;"1";"South"
3;"1";"South"
4;"0";"West"
2;"0";"Midwest"
2;"0";"Northeast"
5;"1";"South"
1;"1";"South"
1;"1";"West"
2;"1";"South"
2;"0";"South"
3;"1";"Northeast"
3;"1";"South"
2;"1";"South"
1;"1";"West"
3;"0";"Northeast"
3;"1";"Northeast"
1;"1";"Northeast"
1;"0";"Northeast"
3;"1";"South"
2;"0";"West"
2;"1";"Midwest"
2;"1";"West"
3;"0";"Midwest"
3;"0";"South"
3;"1";"Midwest"
3;"0";"Midwest"
3;"1";"South"
3;"0";"South"
2;"0";"West"
1;"0";"Midwest"
4;"0";"Northeast"
2;"0";"Northeast"
2;"1";"Midwest"
4;"0";"Midwest"
1;"1";"Northeast"
2;"0";"Northeast"
5;"1";"Northeast"
2;"1";"West"
2;"0";"South"
2;"0";"South"
3;"0";"West"
3;"0";"Midwest"
2;"1";"Midwest"
3;"1";"Northeast"
4;"0";"South"
4;"0";"Midwest"
3;"1";"Northeast"
2;"0";"West"
1;"0";"South"
1;"1";"South"
1;"1";"Northeast"
2;"0";"West"
3;"1";"South"
2;"1";"South"
3;"0";"South"
2;"0";"Northeast"
2;"1";"Midwest"
3;"1";"South"
3;"0";"Northeast"
3;"1";"West"
3;"1";"South"
4;"1";"South"
3;"0";"Midwest"
3;"0";"South"
2;"0";"West"
3;"1";"South"
2;"0";"Northeast"
1;"1";"Northeast"
2;"1";"West"
2;"1";"West"
2;"0";"South"
3;"1";"South"
4;"0";"West"
4;"1";"South"
4;"0";"Northeast"
2;"0";"Midwest"
2;"0";"Northeast"
2;"1";"South"
3;"1";"South"
2;"1";"South"
2;"0";"Northeast"
2;"1";"Northeast"
3;"0";"South"
1;"1";"South"
3;"0";"South"
3;"0";"Northeast"
3;"0";"Midwest"
3;"0";"South"
4;"1";"South"
3;"0";"South"
2;"0";"Midwest"
2;"1";"Northeast"
2;"1";"West"
1;"1";"Northeast"
3;"0";"West"
1;"0";"South"
3;"1";"South"
3;"1";"West"
2;"0";"Midwest"
2;"0";"West"
3;"0";"Northeast"
2;"0";"South"
2;"0";"Midwest"
2;"0";"Midwest"
2;"0";"South"
3;"1";"South"
2;"0";"South"
2;"1";"Midwest"
2;"1";"West"
2;"1";"West"
3;"1";"West"
3;"0";"South"
4;"0";"West"
3;"1";"West"
3;"0";"Northeast"
1;"0";"Northeast"
2;"0";"South"
3;"0";"Northeast"
4;"1";"West"
3;"0";"South"
2;"1";"West"
5;"1";"Midwest"
2;"1";"South"
2;"0";"Midwest"
2;"1";"West"
2;"0";"West"
3;"0";"South"
3;"1";"South"
1;"0";"Midwest"
3;"1";"South"
1;"1";"West"
4;"1";"Midwest"
1;"1";"South"
3;"1";"Northeast"
3;"0";"West"
4;"1";"South"
2;"1";"West"
4;"1";"South"
3;"1";"Northeast"
2;"1";"Northeast"
3;"1";"South"
2;"0";"Midwest"
4;"1";"Northeast"
3;"0";"West"
1;"1";"Northeast"
2;"1";"South"
3;"0";"Midwest"
4;"0";"West"
3;"1";"South"
2;"1";"West"
2;"0";"South"
2;"0";"Midwest"
1;"1";"South"
4;"0";"South"
3;"0";"West"
3;"1";"Midwest"
4;"0";"West"
1;"1";"West"
4;"1";"Midwest"
2;"0";"South"
2;"0";"Northeast"
2;"1";"West"
4;"1";"Northeast"
1;"1";"West"
4;"1";"West"
2;"1";"South"
2;"0";"Northeast"
3;"1";"Midwest"
2;"0";"Midwest"
2;"0";"South"
1;"1";"Midwest"
1;"1";"Northeast"
2;"0";"Midwest"
2;"1";"South"
1;"0";"Northeast"
2;"1";"West"
2;"0";"West"
2;"0";"Midwest"
3;"1";"Northeast"
1;"1";"Northeast"
4;"1";"West"
3;"0";"South"
2;"1";"West"
3;"1";"Northeast"
2;"1";"South"
3;"1";"South"
2;"1";"South"
2;"1";"West"
3;"1";"South"
4;"0";"South"
3;"1";"Northeast"
2;"0";"Midwest"
3;"0";"Northeast"
2;"1";"West"
3;"1";"South"
3;"1";"Midwest"
1;"0";"South"
3;"0";"South"
3;"0";"South"
2;"0";"South"
3;"0";"West"
3;"0";"Northeast"
2;"1";"South"
3;"1";"Northeast"
2;"0";"West"
3;"0";"West"
4;"0";"West"
3;"1";"Midwest"
3;"1";"South"
3;"1";"South"
2;"1";"West"
2;"0";"Midwest"
3;"1";"South"
1;"0";"Northeast"
3;"0";"South"
2;"0";"South"
4;"0";"Midwest"
2;"0";"Northeast"
3;"1";"West"
2;"0";"South"
2;"0";"Midwest"
4;"0";"Midwest"
2;"0";"Midwest"
4;"0";"Northeast"
3;"1";"West"
1;"1";"West"
3;"1";"West"
5;"1";"Northeast"
1;"1";"Northeast"
3;"1";"South"
2;"1";"Midwest"
2;"1";"South"
2;"0";"West"
3;"0";"Northeast"
3;"0";"Midwest"
3;"1";"West"
3;"0";"Midwest"
3;"0";"West"
2;"1";"Northeast"
2;"0";"West"
3;"1";"Midwest"
4;"0";"South"
1;"1";"South"
3;"1";"West"
5;"1";"West"
2;"0";"South"
1;"0";"Midwest"
3;"0";"Midwest"
3;"0";"Midwest"
3;"1";"West"
2;"0";"Northeast"
2;"0";"Midwest"
1;"0";"South"
2;"0";"West"
2;"1";"South"
4;"1";"South"
2;"0";"Northeast"
3;"0";"South"
3;"0";"West"
3;"1";"Midwest"
3;"1";"West"
1;"0";"South"
3;"0";"Northeast"
3;"1";"Midwest"
3;"1";"South"
2;"0";"Northeast"
2;"1";"Midwest"
2;"0";"Midwest"
3;"1";"West"
3;"1";"Northeast"
1;"0";"South"
4;"1";"Northeast"
1;"1";"Midwest"
2;"0";"Midwest"
3;"1";"West"
3;"0";"South"
2;"1";"Midwest"
4;"1";"Northeast"
3;"1";"Northeast"
3;"1";"West"
2;"0";"South"
1;"0";"Midwest"
4;"1";"South"
4;"0";"Northeast"
2;"0";"West"
2;"1";"West"
3;"0";"South"
2;"0";"Midwest"
5;"1";"South"
3;"0";"South"
2;"0";"West"
3;"1";"West"
1;"0";"South"
2;"1";"Northeast"
1;"0";"Midwest"
1;"0";"South"
3;"1";"Northeast"
4;"1";"Northeast"
3;"0";"South"
2;"0";"West"
4;"0";"Northeast"
4;"0";"South"
4;"0";"South"
3;"0";"South"
3;"0";"South"
2;"1";"Midwest"
5;"0";"Midwest"
3;"1";"Northeast"
4;"1";"Northeast"
5;"0";"West"
5;"1";"Midwest"
3;"0";"Midwest"
5;"1";"West"
1;"0";"Midwest"
1;"1";"South"
3;"1";"Northeast"
4;"0";"Northeast"
1;"0";"Northeast"
3;"1";"South"
3;"0";"Northeast"
4;"0";"South"
4;"1";"West"
3;"0";"South"
2;"1";"West"
3;"0";"Northeast"
2;"0";"Midwest"
2;"0";"West"
2;"0";"West"
3;"0";"South"
2;"1";"Midwest"
2;"1";"South"
3;"0";"West"
2;"0";"West"
2;"0";"South"
2;"1";"Northeast"
1;"1";"South"
3;"0";"Midwest"
2;"1";"Northeast"
3;"0";"West"
2;"1";"West"
1;"1";"Midwest"
2;"1";"South"
3;"0";"South"
5;"1";"South"
3;"0";"West"
2;"0";"South"
3;"0";"South"
1;"1";"South"
2;"1";"South"
3;"1";"South"
